"id","name","terminalName","lastCommWithServer","lat","long","installed","locked","installDate","temporary","public","nbBikes","nbEmptyDocks","latestUpdateTime"
"108","4th & D St NW / Judiciary Square","31621","1518380899723","38.895344","-77.016106","true","false","0","false","true","8","6","1518379338564"
"109","19th St & Constitution Ave NW","31235","1518380883122","38.8923","-77.0436","true","false","0","false","true","8","27","1518379318524"
"110","37th & O St NW / Georgetown University","31236","1518380901915","38.90774","-77.071652","true","false","0","false","true","7","16","1518379830403"
"111","11th & H St NE","31614","1518380904246","38.899983","-76.991383","true","false","0","false","true","8","11","1518379710101"
"112","25th St & Pennsylvania Ave NW","31237","1518380832697","38.903827","-77.053485","true","false","0","false","true","2","13","1518380470132"
"113","Columbus Circle / Union Station","31623","1518380821789","38.89696","-77.00493","true","false","0","false","true","20","34","1518380582775"
"114","North Capitol St & F St NW","31624","1518380882957","38.897446","-77.009888","true","false","0","false","true","8","15","1518375256490"
"115","11th & M St NW","31266","1518380850675","38.905607","-77.027137","true","false","0","false","true","1","17","1518380254300"
"116","36th & Calvert St NW / Glover Park","31304","1518380896211","38.922581","-77.070334","true","false","0","false","true","5","9","1518374776882"
"117","14th & G St NW","31238","1518380904344","38.898069","-77.031823","true","false","0","false","true","14","9","1518380187712"
"118","Potomac Ave & 35th St S","31052","1518380849591","38.844015","-77.050537","true","false","0","false","true","10","13","1518343056886"
"124","Ohio Dr & West Basin Dr SW / MLK & FDR Memorials","31240","1518380853385","38.88412","-77.04657","true","false","0","false","true","4","26","1518380610832"
"125","11th & F St NW","31262","1518380811277","38.897857","-77.026975","true","false","0","false","true","11","4","1518380691271"
"126","23rd & E St NW ","31260","1518380921940","38.896104","-77.049882","true","false","0","false","true","6","13","1518379964564"
"127","Lynn & 19th St North","31014","1518380914584","38.897315","-77.070993","true","false","0","false","true","12","19","1518380912245"
"128","Rosslyn Metro / Wilson Blvd & Ft Myer Dr","31015","1518380832060","38.8946","-77.072305","true","false","0","false","true","4","15","1518375073093"
"129","Clarendon Blvd & Pierce St","31016","1518380910091","38.893438","-77.076389","true","false","0","false","true","7","8","1518380551480"
"130","Wilson Blvd & N Uhle St","31017","1518380897773","38.891696","-77.0846","true","false","0","false","true","5","10","1518372797891"
"131","N Rhodes & 16th St N","31018","1518380869323","38.892164","-77.079375","true","false","0","false","true","9","2","1518343039795"
"132","Fairfax Village","31706","1518380902625","38.86559","-76.952103","true","false","0","false","true","5","10","1518341757705"
"133","21st St & Constitution Ave NW","31261","1518380847644","38.892459","-77.046567","true","false","0","false","true","9","6","1518272793272"
"134","Wilson Blvd & N Edgewood St","31019","1518380868466","38.889","-77.0925","true","false","0","false","true","4","11","1518379217900"
"135","Columbia Rd & Belmont St NW","31113","1518380830933","38.920669","-77.04368","true","false","0","false","true","5","14","1518380472590"
"136","Rhode Island & Connecticut Ave NW","31239","1518380911607","38.905995699991145","-77.03980207443237","true","false","0","false","true","8","15","1518380412500"
"137","Thomas Circle","31241","1518380837947","38.9059","-77.0325","true","false","0","false","true","5","28","1518380833430"
"138","Wilson Blvd & Franklin Rd","31020","1518380922090","38.8904","-77.0889","true","false","0","false","true","6","5","1518376008269"
"139","Clarendon Blvd & N Fillmore St","31021","1518380852065","38.8881","-77.09308","true","false","0","false","true","5","10","1518379777670"
"140","Clarendon Metro / Wilson Blvd & N Highland St","31022","1518380907130","38.88786","-77.094875","true","false","0","false","true","2","15","1518377592447"
"141","18th St & Pennsylvania Ave NW","31242","1518380908321","38.89968","-77.041539","true","false","0","false","true","5","21","1518379279251"
"142","4th & C St SW","31243","1518380875853","38.88637194054526","-77.01770067214966","true","false","0","false","true","18","21","1518378740511"
"143","4th & E St SW","31244","1518380805380","38.88412","-77.017445","true","false","0","false","true","7","12","1518379256322"
"144","3rd & G St SE","31625","1518380917947","38.881185","-77.001828","true","false","0","false","true","7","12","1518379961312"
"145","7th & R St NW / Shaw Library","31245","1518380907077","38.912719","-77.022155","true","false","0","false","true","0","14","1518379708543"
"146","9th & Upshur St NW","31404","1518380904570","38.9418","-77.0251","true","false","0","false","true","9","6","1518378514999"
"147","1st & Rhode Island Ave NW","31506","1518380878736","38.915417","-77.012289","true","false","0","false","true","4","11","1518377253859"
"148","Columbia Rd & Georgia Ave NW","31115","1518380844969","38.92812111132096","-77.0237946510315","true","false","0","false","true","0","18","1518379413176"
"149","California St & Florida Ave NW","31116","1518380859743","38.917761","-77.04062","true","false","0","false","true","10","9","1518380258317"
"150","Benning Rd & East Capitol St NE / Benning Rd Metro","31707","1518380920520","38.889935","-76.93723","true","false","0","false","true","4","15","1518376462221"
"151","3000 Connecticut Ave NW / National Zoo","31307","1518380865575","38.930282","-77.055599","true","false","0","false","true","12","3","1518378838902"
"152","Anacostia Ave & Benning Rd NE / River Terrace ","31708","1518380826370","38.896544","-76.96012","true","false","0","false","true","4","11","1518371893100"
"153","M St & Pennsylvania Ave NW","31246","1518380882160","38.905126","-77.056887","true","false","0","false","true","11","8","1518380519270"
"154","15th St & Massachusetts Ave SE","31626","1518380862731","38.88732","-76.983569","true","false","0","false","true","5","10","1518375201449"
"155","Congress Heights Metro","31806","1518380864375","38.844711","-76.987823","true","false","0","false","true","6","9","1518341457901"
"156","N Quincy St & Glebe Rd","31035","1518380917926","38.876393","-77.107735","true","false","0","false","true","8","3","1518379475915"
"157","Barcroft Community Center","31033","1518380848389","38.85033657788445","-77.1009886264801","true","false","0","false","true","6","5","1518341857490"
"158","N Veitch  & 20th St N","31029","1518380899423","38.896923","-77.086502","true","false","0","false","true","9","6","1518380180321"
"159","10th & K St NW","31263","1518380818289","38.9024","-77.02622","true","false","0","false","true","8","15","1518378568883"
"160","Fairfax Dr & Wilson Blvd","31023","1518380809351","38.885801","-77.097745","true","false","0","false","true","8","1","1518379619113"
"161","Key Blvd & N Quinn St","31027","1518380902579","38.896015","-77.078107","true","false","0","false","true","8","3","1518377194959"
"162","1st & K St SE","31628","1518380815867","38.87861","-77.006004","true","false","0","false","true","1","14","1518380814969"
"163","39th & Calvert St NW / Stoddert","31306","1518380853879","38.922649","-77.077271","true","false","0","false","true","10","9","1518376491943"
"164","1st & Washington Hospital Center NW","31507","1518380898884","38.928743","-77.012457","true","false","0","false","true","3","12","1518375072305"
